System,Base URL,Category,Method,Endpoint,Description
Admin Backend,https://b2b.sangvish.com,Admin Operations,GET,/api/admin/dummy-data/logs,Get list of admin records
Admin Backend,https://b2b.sangvish.com,System Settings,GET,/api/admin/email-settings,Get list of admin records
Admin Backend,https://b2b.sangvish.com,System Settings,PUT,/api/admin/email-settings,Update admin by ID
Admin Backend,https://b2b.sangvish.com,Admin Operations,GET,/api/admin/menu,Get list of admin records
Admin Backend,https://b2b.sangvish.com,User Management,GET,/api/admin/roles,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Admin Operations,GET,/api/admin/countries,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Admin Operations,POST,/api/admin/countries,Create / submit a new admin
Admin Backend,https://b2b.sangvish.com,Admin Operations,PUT,/api/admin/countries/:id,Update admin by ID
Admin Backend,https://b2b.sangvish.com,Admin Operations,DELETE,/api/admin/countries/:id,Delete admin by ID
Admin Backend,https://b2b.sangvish.com,Admin Operations,POST,/api/admin/countries/seed,Create / submit a new admin
Admin Backend,https://b2b.sangvish.com,Logistics Config,GET,/api/admin/states,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Logistics Config,POST,/api/admin/states,Create / submit a new admin
Admin Backend,https://b2b.sangvish.com,Logistics Config,PUT,/api/admin/states/:id,Update admin by ID
Admin Backend,https://b2b.sangvish.com,Logistics Config,DELETE,/api/admin/states/:id,Delete admin by ID
Admin Backend,https://b2b.sangvish.com,Admin Operations,GET,/api/admin/footer-sections,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Admin Operations,POST,/api/admin/footer-sections,Create / submit a new admin
Admin Backend,https://b2b.sangvish.com,Admin Operations,PUT,/api/admin/footer-sections/:id,Update admin by ID
Admin Backend,https://b2b.sangvish.com,Admin Operations,DELETE,/api/admin/footer-sections/:id,Delete admin by ID
Admin Backend,https://b2b.sangvish.com,Admin Operations,GET,/api/admin/notifications,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Finance & Orders,GET,/api/admin/withdraw-requests,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Finance & Orders,GET,/api/admin/payout-methods,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Finance & Orders,GET,/api/admin/payout-settings,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Finance & Orders,PUT,/api/admin/payout-settings/:id,Update admin by ID
Admin Backend,https://b2b.sangvish.com,Finance & Orders,DELETE,/api/admin/payout-settings/:id,Delete admin by ID
Admin Backend,https://b2b.sangvish.com,Finance & Orders,POST,/api/admin/payout-settings/seed,Create / submit a new admin
Admin Backend,https://b2b.sangvish.com,Finance & Orders,PUT,/api/admin/withdraw-requests/:id/approve,Update admin by ID
Admin Backend,https://b2b.sangvish.com,Finance & Orders,PUT,/api/admin/withdraw-requests/:id/decline,Update admin by ID
Admin Backend,https://b2b.sangvish.com,Admin Operations,GET,/api/admin/business-types,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Admin Operations,POST,/api/admin/business-types,Create / submit a new admin
Admin Backend,https://b2b.sangvish.com,Admin Operations,PUT,/api/admin/business-types/:id,Update admin by ID
Admin Backend,https://b2b.sangvish.com,Admin Operations,DELETE,/api/admin/business-types/:id,Delete admin by ID
Admin Backend,https://b2b.sangvish.com,System Settings,GET,/api/admin/languages,Get list of admin records
Admin Backend,https://b2b.sangvish.com,System Settings,POST,/api/admin/languages,Create / submit a new admin
Admin Backend,https://b2b.sangvish.com,System Settings,PUT,/api/admin/languages/:id,Update admin by ID
Admin Backend,https://b2b.sangvish.com,System Settings,DELETE,/api/admin/languages/:id,Delete admin by ID
Admin Backend,https://b2b.sangvish.com,Admin Operations,GET,/api/admin/currencies,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Admin Operations,POST,/api/admin/currencies,Create / submit a new admin
Admin Backend,https://b2b.sangvish.com,Admin Operations,PUT,/api/admin/currencies/:id,Update admin by ID
Admin Backend,https://b2b.sangvish.com,Admin Operations,DELETE,/api/admin/currencies/:id,Delete admin by ID
Admin Backend,https://b2b.sangvish.com,Logistics Config,GET,/api/admin/shipping-rules,Get list of admin records
Admin Backend,https://b2b.sangvish.com,Logistics Config,POST,/api/admin/shipping-rules,Create / submit a new admin
Admin Backend,https://b2b.sangvish.com,Logistics Config,PUT,/api/admin/shipping-rules/:id,Update admin by ID
Admin Backend,https://b2b.sangvish.com,Logistics Config,DELETE,/api/admin/shipping-rules/:id,Delete admin by ID
Admin Backend,https://b2b.sangvish.com,System Settings,GET,/api/admin/email-templates,Get list of admin records
Admin Backend,https://b2b.sangvish.com,System Settings,GET,/api/admin/email-templates/:id,Get admin details by ID
Admin Backend,https://b2b.sangvish.com,System Settings,POST,/api/admin/email-templates,Create / submit a new admin
Admin Backend,https://b2b.sangvish.com,System Settings,PUT,/api/admin/email-templates/:id,Update admin by ID
Admin Backend,https://b2b.sangvish.com,System Settings,DELETE,/api/admin/email-templates/:id,Delete admin by ID
Admin Backend,https://b2b.sangvish.com,Admin Operations,GET,/api/admin/homepage-sections,Get list of homepagesection records
Admin Backend,https://b2b.sangvish.com,Finance & Orders,PUT,/api/admin/homepage-sections/order,Update homepagesection by ID
Admin Backend,https://b2b.sangvish.com,Admin Operations,PUT,/api/admin/homepage-sections/:id/toggle,Update homepagesection by ID
Admin Backend,https://b2b.sangvish.com,Admin Operations,PUT,/api/admin/homepage-sections/:id,Update homepagesection by ID
